datetime,city,state,country,shape,durationSeconds,durationHours/min,comments,date posted,latitude,longitude
10/10/1988 22:45,seattle (ballard area),wa,us,unknown,2,2 sec.,"Two adult witnesses are stunned by the sound of an object that streaks above the home they are in.",4/27/2004,47.6063889,-122.3308333
10/10/1989 00:00,calabasas,ca,us,disk,300,approx 5 min,"Unidentified object on Mulholland Highway.",12/14/2004,34.1577778,-118.6375000
10/10/1989 21:00,centralia,wa,us,triangle,60,1 minute,"A huge triangularly shaped silent object that blotted out 25 degrees of the sky&#44 lighted by four glowing points.",4/27/2004,46.7163889,-122.9530556
10/10/1989 21:00,kranklin,ky,,triangle,180,3min,"Triangle seen in franklin Ky - october 1989",5/11/2005,36.722263,-86.577218
10/10/1990 21:00,ashburn,ga,us,triangle,120,2 minutes,"Translucent Craft that makes No Sound While Moving",10/8/2007,31.7058333,-83.6533333
10/10/1991 22:00,frisco,nc,us,unknown,1800,30 minutes,"A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30",1/28/1999,35.2350000,-75.6288889
10/10/1991 22:00,harrisburg,pa,us,triangle,600,10 minutes,"We observed 3 triangular shaped high speed objects&#33",5/9/2003,40.2736111,-76.8847222
10/10/1992 17:00,panama city,fl,us,formation,3600,1 hour(?),"During a road trip to Panama City a friend and I witnessed a pair of luminous light formations appear and dissappear over the Gulf.",1/28/1999,30.1586111,-85.6602778
10/10/1992 18:00,stafford,tx,us,unknown,10,10 seconds,"A man emerges from a beam of light that shines on a grassy field at night and he runs towards the Texas Instruments parking lot.",4/18/2012,29.6158333,-95.5575000
10/10/1992 20:15,seymour,tn,us,cigar,60,1min. 39s,"Stationary Elongated UFO 200ft above vacant field with city lights on bottom",10/31/2008,35.8905556,-83.7247222
10/10/1992 22:00,weatherford,tx,us,unknown,30,30 seconds,"Black or dark grey.  Too big&#44 too low&#44 too slow&#44 too quiet&#44 for a normal aircraft.",9/2/2005,32.7591667,-97.7969444
10/10/1993 03:00,zlatoust (russia),,,sphere,1200,20 minutes,"I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment",12/14/2004,55.183333,59.65
10/10/1993 22:00,peoria,il,us,light,8,8 seconds,"Light over Peoria&#44 IL that moves slowly&#44 stops in mid-air&#44 hovers&#44 changes colors&#44 shoots in opposite direction and disappears.",10/11/2005,40.6936111,-89.5888889
10/10/1993 23:00,carthage,tn,us,other,60,less than 1 min,"1 object with green and red lights",3/21/2003,36.2522222,-85.9516667
10/10/1994 15:00,mercedies,tx,,cigar,3600,1 hour,"ufo chased by fighter jet over Rio Grande Valley. Seen on news",12/12/2011,26.149798,-97.913611
1
